Area name,Area code,Area type,Reporting date,Daily hospital deaths,Cumulative hospital deaths
Northern Ireland,N92000002,Country,3/28/2020,2,15
Wales,W92000004,Country,3/28/2020,4,38
United Kingdom,K02000001,Country - UK,3/27/2020,181,759
England,E92000001,Country,3/27/2020,,679
Scotland,S92000003,Country,3/27/2020,,33
Northern Ireland,N92000002,Country,3/27/2020,,13
Wales,W92000004,Country,3/27/2020,,34
United Kingdom,K02000001,Country - UK,3/26/2020,115,578
United Kingdom,K02000001,Country - UK,3/25/2020,41,463
United Kingdom,K02000001,Country - UK,3/24/2020,87,422
United Kingdom,K02000001,Country - UK,3/23/2020,54,335
United Kingdom,K02000001,Country - UK,3/22/2020,48,281
United Kingdom,K02000001,Country - UK,3/21/2020,56,233
United Kingdom,K02000001,Country - UK,3/20/2020,33,177
United Kingdom,K02000001,Country - UK,3/19/2020,41,144
United Kingdom,K02000001,Country - UK,3/18/2020,32,103
United Kingdom,K02000001,Country - UK,3/17/2020,16,71
United Kingdom,K02000001,Country - UK,3/16/2020,20,55
United Kingdom,K02000001,Country - UK,3/15/2020,14,35
United Kingdom,K02000001,Country - UK,3/14/2020,,21
United Kingdom,K02000001,Country - UK,3/13/2020,,8
United Kingdom,K02000001,Country - UK,3/12/2020,,8
United Kingdom,K02000001,Country - UK,3/11/2020,,6
United Kingdom,K02000001,Country - UK,3/10/2020,,6
